date,open,close,high,low,volume,指数
2026-03-24,3849.630,3881.280,3881.420,3807.990,680622039.000,上证指数
2026-03-25,3892.270,3931.840,3933.060,3891.820,688343626.000,上证指数
2026-03-26,3924.960,3889.080,3937.100,3880.570,615973981.000,上证指数
2026-03-27,3852.090,3913.720,3924.110,3852.090,561342963.000,上证指数
2026-03-30,3884.280,3923.290,3924.290,3872.780,595589479.000,上证指数
2026-03-31,3924.070,3891.860,3948.810,3891.860,606704983.000,上证指数
2026-04-01,3939.570,3948.550,3955.940,3929.920,564611598.000,上证指数
2026-04-02,3940.800,3919.290,3952.580,3900.120,544212835.000,上证指数
2026-04-03,3927.590,3880.100,3929.530,3871.300,492699082.000,上证指数
2026-04-07,3884.150,3890.160,3902.610,3875.680,473615076.000,上证指数
2026-04-08,3930.250,3995.000,3995.000,3926.250,644135352.000,上证指数
2026-04-09,3967.630,3966.170,3979.130,3955.250,541569801.000,上证指数
2026-04-10,3985.460,3986.220,4011.020,3979.810,546415541.000,上证指数
2026-04-13,3971.200,3988.560,3991.260,3966.200,545781768.000,上证指数
2026-04-14,4006.730,4026.630,4026.630,3992.410,570259003.000,上证指数
2026-04-15,4039.470,4027.210,4050.620,4020.900,569458589.000,上证指数
2026-04-16,4030.140,4055.550,4057.830,4028.910,545876967.000,上证指数
2026-04-17,4043.380,4051.430,4058.600,4038.430,548791406.000,上证指数
2026-04-20,4053.370,4082.130,4083.190,4051.690,589841379.000,上证指数
2026-04-21,4075.850,4085.080,4086.640,4062.130,576689450.000,上证指数
2026-04-22,4074.810,4106.260,4106.840,4074.680,582466346.000,上证指数
2026-04-23,4110.790,4093.250,4114.840,4070.460,671166092.000,上证指数
2026-04-24,4081.030,4079.900,4092.610,4061.150,605031798.000,上证指数
2026-04-27,4074.810,4086.340,4092.830,4071.080,589950867.000,上证指数
2026-04-28,4076.140,4078.640,4090.200,4062.870,600507498.000,上证指数
2026-04-29,4061.820,4107.510,4112.150,4061.820,614221451.000,上证指数
2026-04-30,4107.300,4112.160,4118.760,4100.970,656912728.000,上证指数
2026-05-06,4135.450,4160.170,4166.150,4129.910,701177480.000,上证指数
2026-05-07,4168.450,4180.090,4180.210,4163.140,685574249.000,上证指数
2026-05-08,4163.850,4179.950,4183.060,4154.250,697019094.000,上证指数
2026-05-11,4201.350,4225.020,4229.580,4186.080,762736287.000,上证指数
2026-05-12,4229.280,4214.490,4230.180,4199.340,718984002.000,上证指数
2026-05-13,4192.310,4242.570,4245.070,4192.310,705018739.000,上证指数
2026-05-14,4256.160,4177.920,4258.860,4177.920,764235004.000,上证指数
2026-05-15,4174.180,4135.390,4191.810,4114.090,733162357.000,上证指数
2026-05-18,4120.140,4131.530,4145.660,4108.600,627233137.000,上证指数
2026-05-19,4122.960,4169.540,4170.290,4107.990,617611067.000,上证指数
2026-05-20,4152.700,4162.180,4169.850,4139.970,624152035.000,上证指数
