序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
82,603360,百傲化学,0.09,579528559.27,-26.5950269103,19.8375,64419120.83,-34.76,124.8822,1.986955005985,4.56,-0.101601292853,32.6056077319,农化制品,2026-08-26
83,603330,天洋新材,0.01,336977779.17,-28.041358808,15.3084,6165134.33,158.3677587442,-17.1249,3.045341572119,0.47,0.15032277993,32.1313273494,塑料,2026-08-26
84,603329,上海雅仕,0.46,1452165455.15,-2.1944606386,-26.9032,113974244.29,460.72,83.5123,6.130364866832,7.67,1.13671602259,16.2213200841,物流,2026-08-26
85,603318,水发燃气,0.08,1117046354.85,-6.0810633921,15.6618,40332104.63,166.0565124019,565.5336,3.456384703723,2.38,0.061858457136,15.6680926946,燃气Ⅱ,2026-08-26
86,603307,扬州金泉,0.64,535901848.55,8.0754047557,-0.3922,62499110.37,-4.76,-12.1103,14.228177024698,4.33,1.120873321234,24.5515471118,服装家纺,2026-08-26
87,603298,杭叉集团,0.93,10100128374.7,8.6486443972,5.4326,1214529518.5,8.89,57.5298,9.309539165623,10.02,0.291810386705,24.9058947166,工程机械,2026-08-26
88,603296,华勤技术,2.07,93719082921.1,11.6510732912,30.0098,2999622807.17,58.8,82.8273,21.181655824138,10.52,0.423830417647,8.1324883909,消费电子,2026-08-26
89,603285,键邦股份,0.44,342859514.64,11.6374199106,11.9823,69719171.48,0.08,19.3832,10.741939295688,4.05,0.419310936375,28.7336783765,化学制品,2026-08-26
90,603279,景津装备,0.37,2757385004.85,-2.431262884,3.2668,214399906.76,-34.62,-26.349,7.910572559506,4.63,0.057664121203,20.1646050973,通用设备,2026-08-26
91,603277,银都股份,0.29,1362130542.45,-4.4961032759,17.5155,175714277.59,-49.31,224.5037,4.46545844027,6.06,0.405674195117,46.5139663868,通用设备,2026-08-26
92,603260,合盛硅业,0.28,10160440506.95,3.9378185244,2.972,324494945.39,181.7189336058,219.5541,25.116151335835,1.1,2.229019391462,18.3866861359,化学制品,2026-08-26
93,603239,浙江仙通,0.3,690428554.72,2.7584572109,8.9064,80672590.2,-24.63,-35.654,4.904051444075,6.34,0.045516696513,25.5883712358,汽车零部件,2026-08-26
94,603238,诺邦股份,0.3,1553790332.43,15.9400081653,19.8612,52876778.34,-19.06,-29.6401,8.246442757269,3.57,1.382300176104,14.2982855372,个护用品,2026-08-26
95,603230,内蒙新华,0.06,598960011.02,-24.1781547675,-32.4876,22910817.66,-81.75,-163.1532,7.746822226277,0.82,-0.266618161251,37.3467143756,出版,2026-08-26
96,603223,恒通股份,0.26,720043863.05,7.6367494052,13.1447,184308997.63,85.49,-2.1653,5.851437129322,4.51,0.204793268848,35.1330443785,炼化及贸易,2026-08-26
